airCanada,abbostford,canada,toronto,canada,nacional,2,8,"7511,61"
vivaAerobus,acapulco,mexico,monterrey,mexico,nacional,1,45,1775
interjet,acapulco,mexico,toluca,mexico,nacional,0,55,1630
interjet,acapulco ,mexico,cdmx,mexico,nacional,1,10,2083
aeroMx,aguascalientes,mexico,cdmx,mexico,nacional,1,15,1999
aeroMx,aguascalientes,mexico,monterrey,mexico,nacional,1,40,2589
interjet,aguascalientes,mexico,toluca,mexico,nacional,1,5,1385
airCanada,anchorage,usa,vancouver,canada,interN,1,50,"7763,02"
airCanada,atlanta,usa,cancun,mexico,interN,4,56,"20064,72"
aeroMx,atlanta,usa,monterrey,mexico,interN,2,40,5431
airCanada,atlanta,usa,ptoVallarta,mexico,interN,4,53,"41970,24"
airCanada,bagotville,canada,montreal,canada,nacional,1,5,"7819,60"
airCanada,baieComeau,canada,montreal,canada,nacional,2,23,"7787,57"
aeroMx,bajio,mexico,cdmx,mexico,nacional,1,5,2567
aeroMx,bajio,mexico,monterrey,mexico,nacional,1,20,1470
aeroMx,bajio,mexico,tijuana,mexico,nacional,3,5,4254
interjet,bajio,mexico,toluca,mexico,nacional,1,0,2175
airCanada,baltimore,usa,montreal,canada,interN,3,7,"7781,57"
airCanada,bathurst,canada,montreal,canada,nacional,3,7,"6949,41"
airCanada,boston,usa,cancun,mexico,interN,3,4,"12701,52"
airCanada,boston,usa,montreal,canada,interN,2,20,"2500,42"
airCanada,boston,usa,ottawa,canada,interN,2,20,"7859,09"
airCanada,boston,usa,toronto,canada,interN,1,20,"3190,72"
airCanada,boston,usa,vancouver,canada,interN,2,13,"4448,60"
airCanada,calgary,canada,cancun,mexico,interN,1,20,"5016,18"
airCanada,calgary,canada,castlegar,canada,nacional,2,20,"6217,08"
airCanada,calgary,canada,cdmx,mexico,interN,2,13,"5369,00"
airCanada,calgary,canada,chicago,usa,interN,2,23,"8314,28"
airCanada,calgary,canada,comox,canada,nacional,2,10,"6287,73"
airCanada,calgary,canada,cranbrook,canada,nacional,3,7,"7659,20"
airCanada,calgary,canada,denver,usa,interN,4,59,"7813,42"
airCanada,calgary,canada,edmonton,canada,nacional,2,13,"6225,74"
airCanada,calgary,canada,fortMcMurray,canada,nacional,2,13,"7201,77"
airCanada,calgary,canada,grandePraire,canada,nacional,1,50,"6150,32"
airCanada,calgary,canada,halifax,canada,nacional,1,55,"6121,24"
airCanada,calgary,canada,houston,usa,interN,4,50,"6638,81"
airCanada,calgary,canada,kahului,usa,interN,4,56,"7775,17"
airCanada,calgary,canada,kamloops,canada,nacional,2,13,"6276,48"
airCanada,calgary,canada,kelowna,canada,nacional,2,8,"6321,74"
airCanada,calgary,canada,lasVegas,usa,interN,4,53,"7783,09"
airCanada,calgary,canada,lethbridge,canada,nacional,3,4,"6298,90"
airCanada,calgary,canada,losAngeles,usa,interN,1,55,"3482,18"
airCanada,calgary,canada,losCabos,mexico,interN,3,7,"5507,06"
airCanada,calgary,canada,medicineHat,canada,nacional,3,4,"7383,20"
airCanada,calgary,canada,montreal,canada,nacional,3,4,"7199,83"
airCanada,calgary,canada,nanaimo,canada,nacional,2,13,"6313,43"
airCanada,calgary,canada,narita,japon,interC,22,10,"41970,24"
airCanada,calgary,canada,nuevaYork,usa,interN,1,45,"7752,80"
airCanada,calgary,canada,ottawa,canada,nacional,2,8,"6280,38"
airCanada,calgary,canada,palmSprings,usa,interN,1,55,"6866,83"
airCanada,calgary,canada,phoenix,usa,interN,2,0,"6167,66"
airCanada,calgary,canada,portland,usa,interN,3,4,"7771,25"
airCanada,calgary,canada,ptoVallarta,mexico,interN,4,56,"5553,08"
airCanada,calgary,canada,regina,canada,nacional,0,59,"6259,19"
airCanada,calgary,canada,sanFrancisco,usa,interN,2,8,"7794,71"
airCanada,calgary,canada,saskatoon,canada,nacional,2,0,"7780,74"
airCanada,calgary,canada,seattle,usa,interN,2,53,"6586,29"
airCanada,calgary,canada,stJohn,canada,nacional,3,7,"6254,13"
airCanada,calgary,canada,toronto,canada,nacional,3,1,"6255,82"
airCanada,calgary,canada,vancouver,canada,nacional,0,53,"8703,40"
airCanada,calgary,canada,victoria,canada,nacional,1,47,"6265,45"
airCanada,calgary,canada,winnipeg,canada,nacional,2,35,"6273,93"
airCanada,calgary,canada,yellowknife,canada,nacional,1,45,"6270,96"
interjet,campeche,mexico,cdmx,mexico,nacional,1,35,2368
airCanada,cancun,mexico,atlanta,usa,interN,4,59,"20064,72"
airCanada,cancun,mexico,boston,usa,interN,3,4,"12701,52"
airCanada,cancun,mexico,calgary,canada,interN,1,44,"5016,18"
vivaAerobus,cancun,mexico,cdJuarez,mexico,nacional,3,40,1057
vivaAerobus,cancun,mexico,cdmx,mexico,nacional,2,10,1194
airCanada,cancun,mexico,chicago,usa,interN,2,35,"8513,70"
vivaAerobus,cancun,mexico,chihuahua,mexico,nacional,3,20,1159
vivaAerobus,cancun,mexico,cincinnati,usa,interN,3,15,5014
vivaAerobus,cancun,mexico,guadalajara,mexico,nacional,3,0,1079
airCanada,cancun,mexico,houston,usa,interN,2,20,"14266,20"
airCanada,cancun,mexico,lasVegas,usa,interN,1,55,"9050,60"
vivaAerobus,cancun,mexico,leon,mexico,nacional,2,35,1199
vivaAerobus,cancun,mexico,monterrey,mexico,nacional,2,15,1055
airCanada,cancun,mexico,montreal,canada,interN,4,47,"5338,32"
vivaAerobus,cancun,mexico,newark,usa,interN,3,25,2580
vivaAerobus,cancun,mexico,newYork,usa,interN,3,25,2580
airCanada,cancun,mexico,ottawa,canada,interN,2,8,"3973,06"
vivaAerobus,cancun,mexico,puebla,mexico,nacional,2,15,1089
vivaAerobus,cancun,mexico,queretaro,mexico,nacional,2,15,712
vivaAerobus,cancun,mexico,reynosa,mexico,nacional,2,25,1049
airCanada,cancun,mexico,seattle,usa,interN,2,10,"11643,06"
vivaAerobus,cancun,mexico,tampico,mexico,nacional,2,10,1059
vivaAerobus,cancun,mexico,toluca,mexico,nacional,2,20,1462
airCanada,cancun,mexico,toronto,canada,interN,2,8,"4555,98"
vivaAerobus,cancun,mexico,torreon,mexico,nacional,2,50,1345
vivaAerobus,cancun,mexico,tuxtlaG,mexico,nacional,1,45,1039
airCanada,cancun,mexico,vancouver,canada,interN,3,7,"3712,28"
vivaAerobus,cancun,mexico,veracruz,mexico,nacional,1,50,1469
vivaAerobus,cancun,mexico,villahermosa,mexico,nacional,1,30,1099
airCanada,cancun,mexico,winnipeg,canada,interN,1,44,"8056,31"
airCanada,castlegar,canada,calgary,canada,nacional,1,44,"7748,56"
airCanada,castlegar,canada,vancouver,canada,nacional,2,13,"7931,74"
aeroMx,cdCarmen,mexico,cdmx,mexico,nacional,1,40,1999
interjet,cdCarmen,mexico,toluca,mexico,nacional,2,40,2587
vivaAerobus,cdJuarez,mexico,cancun,mexico,nacional,3,40,1057
interjet,cdJuarez,mexico,cdmx,mexico,nacional,2,35,3300
vivaAerobus,cdJuarez,mexico,guadalajara,mexico,nacional,2,0,947
aeroMx,cdJuarez,mexico,monterrey,mexico,nacional,1,50,800
aeroMx,cdJuarez,mexico,tijuana,mexico,nacional,2,0,7835
interjet,cdmx,mexico,acapulco ,mexico,nacional,1,10,2083
aeroMx,cdmx,mexico,aguascalientes,mexico,nacional,1,15,1999
aeroMx,cdmx,mexico,bajio,mexico,nacional,1,5,2567
airCanada,cdmx,mexico,calgary,canada,interN,2,8,"5369,00"
interjet,cdmx,mexico,campeche,mexico,nacional,1,35,2368
vivaAerobus,cdmx,mexico,cancun,mexico,nacional,2,10,1194
aeroMx,cdmx,mexico,cdCarmen,mexico,nacional,1,40,1999
interjet,cdmx,mexico,cdJuarez,mexico,nacional,2,35,3300
interjet,cdmx,mexico,cdObregon,mexico,nacional,2,25,4351
interjet,cdmx,mexico,chetumal,mexico,nacional,2,50,2958
interjet,cdmx,mexico,chicago,usa,interN,4,5,5140
vivaAerobus,cdmx,mexico,chihuahua,mexico,nacional,2,10,1927
interjet,cdmx,mexico,cozumel,mexico,nacional,2,5,2236
